mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__bootstrap,param_clf__max_depth,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.2919692039489745,0.04507923024147953,0.046300411224365234,0.0025403139052748037,True,10,4,10,800,"{'clf__bootstrap': True, 'clf__max_depth': 10, 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 10, 'clf__n_estimators': 800}",0.922629746990957,0.8858121002505758,0.8970143147038167,0.8958010095659636,0.8895433027011974,0.898160094842502,0.012902434258567354,125
0.40068397521972654,0.02135631935034072,0.02300539016723633,0.004442874387887185,True,20,1,2,200,"{'clf__bootstrap': True, 'clf__max_depth': 20, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.9298647466451053,0.8903821763371946,0.9150808073299367,0.9155376688003988,0.8860897009356014,0.9073910200096474,0.0165747763894701,42
0.7481182098388672,0.03895425668457992,0.03145675659179688,0.0033965414847325383,True,20,1,2,400,"{'clf__bootstrap': True, 'clf__max_depth': 20, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 400}",0.9264829349025053,0.8940585399780766,0.9148197369898495,0.9115144304323699,0.9068199408935174,0.9107391166392638,0.01057092203835751,26
1.5114696025848389,0.02389424103401675,0.05237264633178711,0.0032523098751970235,True,20,1,2,800,"{'clf__bootstrap': True, 'clf__max_depth': 20, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 800}",0.929774792584064,0.8980287688675519,0.9081080946434799,0.905427047318361,0.9036483413993454,0.9089974089625604,0.010901024004315255,30
0.37848997116088867,0.010559388127241758,0.023775100708007812,0.002562711535375153,True,20,1,5,200,"{'clf__bootstrap': True, 'clf__max_depth': 20, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.9232411736613688,0.882725234331789,0.9083692271299844,0.9113450706689682,0.9000722552014829,0.9051505921987186,0.013451293574324289,59
0.7568203926086425,0.03789707560591444,0.036260986328125,0.004755737247840558,True,20,1,5,400,"{'clf__bootstrap': True, 'clf__max_depth': 20, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 400}",0.940458373549333,0.893705047819779,0.9081365429502162,0.9160660419563982,0.9035954996542372,0.9123923011859928,0.015785496019295284,16
1.429813814163208,0.0403691420063648,0.05718441009521484,0.00798388028669549,True,20,1,5,800,"{'clf__bootstrap': True, 'clf__max_depth': 20, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 800}",0.9342527588016171,0.8908892239680289,0.9045667578098671,0.9023335818057917,0.8997856657239215,0.9063655976218452,0.014696941043159219,46
0.36546664237976073,0.012876182879043244,0.023592472076416016,0.004932845036254045,True,20,1,10,200,"{'clf__bootstrap': True, 'clf__max_depth': 20, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 200}",0.9231910402414449,0.8830775256534776,0.9084208380462847,0.9079249959307246,0.8782138710350473,0.9001656541813958,0.01692577187682301,117
0.6951232433319092,0.018995009941939204,0.032879638671875,0.0044279170924613675,True,20,1,10,400,"{'clf__bootstrap': True, 'clf__max_depth': 20, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 400}",0.9229410214083832,0.8947857471029197,0.9010959473568779,0.9048730036014728,0.8854627615118524,0.9018316961963013,0.012433679337405948,92
1.3635230541229248,0.04112669879530063,0.060949182510375975,0.004381830405774172,True,20,1,10,800,"{'clf__bootstrap': True, 'clf__max_depth': 20, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 800}",0.9229410214083832,0.8982097086224609,0.8972842248656836,0.9012835289284347,0.8826942018756604,0.9004825371401244,0.012937116570774844,112
